Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
Facilitation,the process of something becoming easier or simpler,"Due to the teacher’s facilitation of the skills in her class, my grade jumped from making low D’s to A’s and B’s.",Online dating sites have created a facilitation of finding your soulmate by making it more comfortable to meet potential dates.,"Since the small-town bank left its vault always open, bank robbers could not believe the facilitation of the process of stealing the bank’s money.",,,,,,,
Facility,space or equipment necessary to accomplish a task,"There is no facility available to produce our cupcakes, so we will have to continue working from home.",The only facility big enough for the event is the town stadium.,"Our facility will host the part this weekend, but next week’s shindig will be held somewhere else.","At the facility, many different business meetings and events are held.",Each factory makes the products and then they are shipped to the holding facility.,,,,,
Facsimile,a copy or reproduction,He offered a facsimile of the original painting for a much discounted price.,He offered a service where he would create a facsimile of famous sculptures.,"It may have been a facsimile, but it was still signed by the author, giving it some value.","In art, a facsimile often cannot capture the original allure of the piece.","Though it was near-perfect, the antique collector could tell this book was a mere facsimile of the original.",A good facsimile will fool even the most intense scrutiny.,His supposed research findings were merely a facsimile of a similar study performed years ago.,"It was a perfect facsimile, every last detail identical to the original.",The cheap facsimile would never pass as anything but a worthless copy.,"The facsimile, or fax machine is an outdated way to send paper communications."
Fact,a truthful statement,My mother hid the fact that my dad was not my real father for more than forty years.,"It is a fact that the sky is blue, but some people would lie and tell you it is purple.",Each fact was listed in the paper with a source to back up its truthfulness.,"Because my husband lies so much, I can barely tell whether what he is saying is fact or fiction.",One fact that the police left out was that the suspect was not in the state at the time of the murder.,,,,,
Faction,a group within a larger group that has different ideas and opinions than the rest of the group,"In the novel, the heroine was born into a faction of the population that dedicated their lives to helping each other.",The United States Civil War began when several southern states decided to become a faction and form their own nation.,"When the country’s ruling faction started killing off its political rivals, people started to protest outside the capitol building.",The candidate who wins the election will be the one who can get the most voters to join his faction.,"Although I disagree with my political leaders, I am not in such disagreement that I want to break off and start my own faction to oppose their policies.",The conservative faction was upset about the healthcare law that provided medical coverage to homosexual couples.,"Even though the faction leaders have agreed to meet to discuss a treaty, it is highly unlikely they will make peace in one day.",Several members of the church who disagree with the minister’s practices are leaving the organization to start their own religious faction.,"At my high school, the cheerleaders and the football players made up the most popular faction of students.",The police chief hoped he could come up with a peaceful way to end the violence between the rival gang factions.
Factious ,given to disagreements that lead to the development of conflict and problems within a group,"When my factious son gets mad with one of his pals, he tries to separate the person from the group by starting an argument.",The billionaire was a factious man who enjoyed creating tasks that put his employees at odds with each other.,"While Jeff hoped his idea would bring the church members together, his plan was factious and split the church in half.",The leader of the racist group was known for his factious attempts to instigate ethnic disagreements in small towns.,"During the interrogation, the factious detective attempted to turn the conspirators against each other.",,,,,
Factor,an element that contributes to a circumstance or situation,The high fuel consumption is the main factor that deters me from buying the vehicle.,"According to the police, road rage was the key factor behind the accident.",Location is usually the deciding factor when I choose a hotel.,Eating properly is an essential factor in any weight loss program.,Did you think race was a factor when the man denied your rental application?,,,,,
Factory,a building were products are made,Factory employees work Monday through Friday making the rubber stoppers that go in bathtubs.,"With sales steadily dropping, the shoe factory owners have decided to cut back on production.","As a factory forklift driver, it is the man’s job to move the boxes filled with goods out to the warehouse.",Charlie couldn’t believe all the products that were being prepared when visited the chocolate factory with his grandfather.,"The inventor had a great product idea, but he couldn’t find a local factory big enough to make his product.",,,,,
Factotum,person having many responsibilities,"After accomplishing every task on the woman’s list from installing a new sink to babysitting the children, the factotum proved his worth and earned his pay for the day.","At the fast food restaurant, Kevin won the employee of the month award because as a factotum he would do every task assigned to him by his supervisor without fail.","As a factotum, my friend impressed me with his ability to rewire a house, work difficult math problems and design a necklace.","As a flipper, I would need to hire a factotum in order to accurately fix every single problem that needed to be fixed in the house including painting, fixing the flooring, installing appliances and repairing the roof.",I never worry about my son’s education since his teacher acts as a factotum because she can accurately teach every subject at his high school.,,,,,
Factual,having the quality or characteristic of being true or grounded in reality,"That two plus two equals four is a completely factual statement, and no one can ever claim it to be false.","I gave a factual retelling of where I had been last night, telling my partner only the truth and the facts.","When you read a historical account of an event, you assume that all of the information within is factual, but for all we know some of it could be mistaken.","I was reading an account of an adventurer from the past, but I knew his tale was not completely factual when he mentioned fighting a dragon.","A story can only be considered factual if everything within it is the absolute truth, with no lies or exaggerations in it.",,,,,
Faculty,"the teaching staff of an educational organization, such as a school or university","My favorite member of the faculty here at school is Mr. Earhart, because he teaches my favorite class.","Because this university is very large, the number of faculty members is proportionally large as well so they can teach all the students.","Even if it is only temporary, a substitute teacher is a member of a school’s faculty while they are teaching a class.","If I want to join the faculty of a school, I must gain a teaching license so I may become a teacher there.","Technically a janitor is not a member of school faculty because he does not teach at the school, though he is still a member of the staff.",,,,,
Faculty,the teachers who work at a school or university,Faculty pictures were included with the students in the school yearbook.,Faculty and staff were asked to come to the meeting to discuss university concerns.,Teaching faculty salaries are listed on the school’s website.,"Without any faculty member to teach the business course, the classes will have to be cancelled.","Faculty members can wear any business casual attire, but students at the school have a strict dress code.",,,,,
Fade,a gradual decrease; dim movie clip or diminish sound,I don’t care for the speed sensitive volume control feature on my car because the music will fade when I come to a complete stop.,,,,,,,,,
Fahrenheit,a temperature scale in which 32 degrees is the standard for freezing and 212 degrees is the boiling point,"If you crank the heat up to 212 degrees Fahrenheit, the water in the pot will begin to boil.","The Fahrenheit scale differs from Celsius, but both are used to measure temperature.","At 32 degrees Fahrenheit and 0 degrees Celsius, the rain water will begin to freeze into ice.",,,,,,,
Failure,a disaster or flop,"The fashion show was a failure after the models fell off the runway, the lighting did not work and very few people showed up to watch the event.","When two people don’t listen to each other, there will be a failure in communication.",The football play was a failure when the player dropped the ball and it was picked up by the opponent for a touchdown.,Ms. Pruitt’s lesson was a complete failure since none of the kids learned anything during that entire class period.,Failure was not an option with the raffle since everyone would win a prize that was worth more than what was paid for the ticket.,,,,,
Fain,pleased or inclined to do something,"Although I was on a diet, I was fain to eat a large slice of cake.",The kind priest was fain to offer shelter to the homeless man.,My father was not fain to see me marry while I was still in high school.,Frank was a generous man who was always fain to help those in need.,"After waking up from a coma, Peter was fain to get out of bed.",,,,,
Faint,weak and dizzy,"Because she felt faint, the exhausted woman went to lie down for a while.",I felt faint after getting off of the ride and almost passed out.,"Though she felt faint, the bride tried to make it through the ceremony without passing out.","Feeling sick at her stomach, the faint student was sent to the nurse.",The soldiers felt faint after marching several hours in the hot sun with no access to water.,,,,,
Fair,just in decisions; right or ethical,The fair judge always made decisions that were in the reasonable and just.,"Trying to be fair to both children, the parents flipped a coin to see who would get the bigger bedroom.",Customers complained that it isn’t fair to charge more for a hotel room during the summer than in the winter.,"To make sure the election is fair and honest, no one is allowed in the voting booth with someone else.",Miranda thought it only fair to split the prize money with her brother who helped her with the project.,,,,,
Fairness,"the condition of being reasonable, impartial, and just",Many students loved their English teacher due to her fairness by treating each student equal to the other students.,"Based on the fairness of the law, both the plaintiff and the defendant were able to present their case completely because of their access to many available resources.",The victim believed in the fairness of the criminal’s sentence when the robber had to pay restitution back to the victim in conjunction with serving jail time.,"After teaching everything on the assessment in detail, many students felt certain the fairness of the test and the students’ hard work would pay off.","When the boss’s son was treated more favorably than the other employees at the company, many workers left since there was no fairness with all of the staff.",,,,,
Fairway,"an open path or space, particularly for playing golf",The golfer hit a tee shot over the water past the green fairway.,"If you hit the ball in the fairway, you've got a good chance of making a birdie.","After the long rain, the fairway was too foggy to play a round on.","Looking down the fairway, it was hard for the golfer to see exactly where he should aim the driver.",Fans peered across the fairway to see if Tiger made a hole-in-one.,,,,,
Fait accompli ,already completed and unchangeable,The low grade on my project was a fait accompli the teacher saw no reason to alter.,"Since the demolition of the historic site is a fait accompli, a protest would be fruitless.",John’s firing was a fait accompli so he had to tell his wife about his change in income.,"Until the auctioneer’s gavel comes down for the last time, your rival’s bid is not a fait accompli.",My landlord’s decision to sell my rental property was a fait accompli that left me homeless.,,,,,
Faithful,to be loyal to someone or something,"After being caught in a small lie, the citizens remained faithful to the mayor since he had done so much good for their town and they could forgive a small lie.","The athlete’s faithful companion gave up her career to help his, and so she could always be seen attending her husband’s games.",Ms. Cooper frequently walked miles in her neighborhood with her faithful dog behind her following her every step.,"Even after being caught and tortured for hours by the enemy, the faithful spy would never go against his mission to his country.","After spending months helping her neighbor, the faithful friend gave up a lot of time and money from her job to help her out.",,,,,
Fakir,a Muslim or Hindi holy man with magical powers who makes a living by begging,An Indian fakir roamed the city begging for alms from those who help the poor.,"Performing holy wonders throughout Mumbai, the fakir traveled far and wide.",The Muslim fakir charmed snakes and shook his cup for coins at the people passing by.,"Many people think that the fakir is just a beggar, not realizing he is a holy man on a mission.","Begging for a living, the fakir’s only job was to demonstrate his mystic powers to people on the street.",,,,,
Fallacy,an idea or belief that is false but many people think is true,Having money makes you happy is a fallacy because happiness has nothing to do with wealth.,"While the business plan sounds good on paper, it is built on the fallacy that people will pay thirty dollars to see a movie.","Because that fallacy is so ridiculous, I cannot understand how you believe it!",Mark’s fallacy on the workings of the stock market caused us all to lose a great deal of money.,The huge fallacy of the proposed budget is the government’s inability to come up with the necessary funds.,"For the longest time, Henry has been basing his relationships on the fallacy that beauty is more important than personality.",It is a fallacy to assume all poor people are uneducated.,"During the debate, the fallacy of John’s argument was apparent to everyone.","After the patient did not feel better within three days, the doctor realized the fallacy of treating the illness with antibiotics.","Since Dr. Smith’s theory is based on a fallacy, the university is not interested in hearing it."
Fallen,having dropped by the force of gravity,I spent countless hours before winter begins raking leaves that have fallen from trees.,,,,,,,,,
Fallible,capable of making mistakes or being wrong,"Even though we are all fallible to some degree, the most successful people have learned how to rise above their weaknesses.","If you want to get the jury’s sympathy, you’ll need to appear at least a little fallible and not like you believe you’re above the law.","When we saw our possessions were broken and scattered throughout the apartment, we realized that our so-called burglar-proof alarm system was fallible, after all.","It’s often a shock to realize that your hero is fallible, which is probably why some parents take a longer time than others to reveal the truth about Santa Claus to their kids.",The crime-solving techniques of a couple of decades ago were much more fallible than today’s methods.,"Because she couldn’t believe her father was fallible, she continued to watch the street for signs of his car coming back home.","Despite the fact that George is considered the company’s top problem solver, everyone knows he is fallible and will sometimes make poor decisions.","If you think about it, the morals of most of Aesop’s fables have to do with the fact that everyone is fallible.",Dr. Stevens couldn’t make a conclusive diagnosis because he discovered that a fallible formula had been used in the test.,"Although many of our politicians prove to be fallible, the principles our constitution was founded upon will always remain solid."
Fallow,not being used,"At the end of summer, the once crowded beaches become fallow as the young people return to school.","During the great financial depression, millions of families lost their farms because the high price of goods left them unable to plant on their fallow land.",A city meeting is being held to discuss the advantages and disadvantages of building a museum on the fallow property that sits on the corner of Main Street and State Street.,"For four months after my knee surgery, my dancing shoes remained fallow in the closet.","In my desk drawer, I have a collection of fallow cellphones that enlarges every time a new smartphone comes onto the market.",The beautiful park you see today is a result of young school children planting seeds in a fallow field twenty years ago.,"In poorer communities, fertile land is often fallow because farmers cannot afford to buy seeds.","If the oil workers go on strike, the refinery could be fallow for weeks and cause a huge increase in fuel prices.","Until the arena can be properly repaired, it will remain fallow and unavailable for public events.","For several years now, the government has been paying overproducing farmers to leave some of their land fallow."
FALSE,untrue; fake,"False news filled the internet, tricking people into believing lies.","Every time the boy said something false, the lie would make his nose grow longer.",The man filled the woman’s head with false promises that he never planned to keep.,"People keep saying the couple is breaking up, but they swear this is false.",Rumors about my brother are false and made up by liars who simply don’t like him.,,,,,
Falsehood,something that is an outright lie or fib,"Despite the fact that Henry VIII told an obvious falsehood about his wife’s infidelity, the people of England were too scared to question the king and she was beheaded.",A group of scientists and government officials discuss the truth behind Area 51 and the falsehood of a UFO landing.,The documentary explores the truth or falsehood of whether Stonehenge was built by alien life forms.,She knew her daughter was telling a falsehood about not eating the cupcake because she had chocolate frosting smeared all over her face.,"The first time she confessed her love to him wasn't a falsehood, but since then she’d fallen in love with someone else.",,,,,
Falsetto,an unnaturally high and feminine voice particularly sung by a male,"The young man sang in a high, clear falsetto that rivaled the most talented female singers.",The singer’s falsetto was so high and piercing that members of the audience covered their ears.,Her brother raised his voice to a girly falsetto as he mocked her.,Mike attempted to sing in a beautiful falsetto that resembled Mariah Carey but ended up sounded like an injured animal.,Many choirs include a number of young boys to sing high falsetto notes before their voices mature into a deep tenor.,,,,,
Falsify ,to dishonestly change something in order to trick people,"Knowing it was wrong to falsify the truth, the girl admitted to losing her assignment.",The forger tried to falsify the document but could not match the signature.,Greedy attorneys had their assistants falsify the files by conjuring up meetings and documenting phone calls that never occurred.,IRS auditors quickly noticed that someone had tried to falsify the tax documents.,"In an attempt to falsify his time sheet, the worker recorded arrival times that were not accurate.",,,,,
Falsity,"something that is false, an outright lie, or simply incorrect","A common historical falsity is that only Jews suffered under Hitler’s reign, but other marginalized groups were persecuted as well.",A lie detector test distinguishes between truth and falsity.,It’s the job of a lawyer to prove the falsity of the accused and sift out any holes in their story.,The Bolsheviks aimed to reveal the falsity and corruption of the Russian ruling class.,"He recognized the falsity in his brother’s logic because he too, had been brainwashed by his parents.",,,,,
Falter,"to hesitate, stumble, or waver","When the bank teller noticed that the masked man began to falter slightly, she discreetly pressed the silent alarm.","Because that horse has a tendency to falter at the gate, the odds that he will win the race are pretty low.","Carrie had a feeling that Scott intended to kiss her, and she hoped that this time he wouldn’t falter.","Even though that country has enjoyed a strong economy during the recent decades, it’s beginning to falter because of the policies of the new regime.",Linda felt her resolve begin to falter as she stepped to the edge of the cliff and realized how far down she would go before the bungee cord stopped her fall.,"Despite the fact that ten prospects in a row had declined Paul’s offer of a complimentary carpet cleaning, he didn’t allow his motivation to falter.","Timmy thinks that if he stares hard enough at the opponents’ star hitter, he will falter at bat and strike out.","Claire was afraid her voice would falter if she delivered the eulogy, so she persuaded her brother to do it instead.","In the shootouts of the Old West, one flicker of the eye or falter of the nerves could mean certain death for an unlucky gunslinger.","Since this is the final race in the meet, you’ll be racing against the best and you can’t afford to falter even a little."
Familial ,family-related,Children of the same familial background are likely to follow similar career paths.,"Surprised that it was a familial trait, the adopted boy now realized that his color blindness came from his birth father.","A familial identifier of their family, the widow’s peak hairline was present in all of the Johnson children.","Though AB- is quite rare, it was a familial blood type in the small community.","Even though she tried to her best to control it, the girl had a familial tendency to be aggressive just like her mother.",,,,,
Familiar,to have knowledge of,Mia wasn't familiar with the astrophysics but after reading a few textbooks on the subject she learned quickly.,Alexander was familiar with Tolstoy and Chekhov but he had never heard of Bulgakov.,He sighed in relief when he saw the familiar face of his best friend in the crowd.,"After spending almost every summer exploring the dusty bookshelves, Maya was very familiar with the New York Public Library.",The lost little girl searched for anything that looked familiar but she didn't recognize anything.,,,,,
Familiarize,"to make, or become familiar with something or someone","Having just moved in, I walked around to familiarize myself with the neighborhood.","Every driver should familiarize himself or herself with the correct places to check the water, oil, and brake fluid in their vehicle.",The study group will meet at seven tonight so the members can familiarize themselves with the material for the history test.,"Because I am new to cooking, I need to familiarize myself with the kitchen and equipment before I prepare meals.","A person can familiarize themselves with all the books they want, but nothing beats real world experience.",,,,,
Family,a group of people related to one another,All of the family members look alike because of their red hair and freckled faces.,"Although family night used to be a lot of fun, I have grown tired of spending every Tuesday with my mom and dad.","After grandma’s death, the family pulled together to support each other through the loss.",A family discount was offered to any one closely related to the soldier including his wife and children.,"Because the adopted child didn’t know her real family, she began to search for any information about her mom and dad.",,,,,
Famine,a severe food shortage or period when food is in short supply,Many people have starved to death because of the famine.,"To help ease the suffering caused by famine, the United Nations is sending food to the African nation.",The selfish king threw lavish parties while the people of his kingdom wasted away during the famine.,"During the famine, food was strictly rationed out by the government.",The proud leader refused to accept offers of food aid that would end his country’s famine.,,,,,
Famish,to make someone extremely hungry,Three days without anything to eat was enough to famish the lost campers.,"Because a drought would famish the entire city, the leaders had to find a way to import grain and other dry foods.",The evil stepmother would famish the starving child by locking him in the closet and refusing to feed him for days.,,,,,,,
Famished,extremely hungry,"The man had not eaten for days, so when I asked if he was hungry he responded by saying “I’m famished.”","The boy looked absolutely famished, his body nothing but skin and bones.","Though many people experience hunger, few ever understand what it is like to truly be famished.","The homeless of the world are often left famished, happy to get even scraps of food.","After a long and harsh winter, the town was left famished.","Being stranded at sea for a week, the man was famished to the point of starvation.","Since she had fasted all day yesterday, the woman was absolutely famished.","Though he was likely famished from the demonstration, Gandhi starved himself during his hunger strike.",He was so famished that he ate an entire tray of sandwiches.,"Thirsty and famished, the man was still determined to survive and make it out of the desert."
Famous,well-known; famed,The chef became so famous for her meals that she was given her own cooking show.,"Even though he was famous, the celebrity still liked to go do normal things with his family.",The man became famous after millions of people watched his You tube videos.,"Every year, hundreds of thousands of tourists flock to Paris to see the famous Eiffel Tower.","Famous for their ice cream, the diner is always packed with out of town customers who can’t wait to taste the desserts.",,,,,
Fanatic,"one who is extremely passionate about something, often a religion or cause ",My husband is an exercise fanatic who runs six miles every day.,"Because my father is a football fanatic, he hasn’t missed any of his team’s home games in ten years.",The religious fanatic was willing to kill herself for her god.,"An animal rights’ fanatic, Ellen volunteers at the animal shelter over forty hours a week.","Since Bill is a golfing fanatic, he plays golf every day even when it’s raining.",,,,,
Fanatical,"having an extreme, irrational zeal or enthusiasm for a specific cause","Richard is fanatical about his beliefs, preaching to anyone that will listen.",We were afraid of being attacked by a fanatical jihadist.,Becky convinced her son to escape from the fanatical cult.,"When Jason was a teenager, he was a fanatical baseball fan.","The fanatical fan ran wildly around the stadium, shouting his team’s name.",,,,,
Fanaticism ,a state of irrational enthusiasm or admiration,The followers of the cult displayed their fanaticism by drinking their leader’s blood.,"Because of her fanaticism, Sheila is willing to do anything to meet her favorite star.",Alan’s fanaticism led him to participate in an illegal protest outside the governor’s mansion.,"For hundreds of years, two countries have been involved in a war stemming from religious fanaticism.",Extreme fanaticism has led many celebrities to hire teams of body guards.,,,,,
Fancied,liked or felt a desire for,"The couple fancied a night out on the town, so they got dressed and called a cab.","Though we fancied a steak dinner, we ended up eating chicken and shrimp.",Thelma fancied cruises to remote places but rarely could afford to go.,"Betsy fancied a trip to the beach, but her husband wanted to go fishing instead.","I fancied seeing my brother during the holiday, though I hated he brought his dog along.",,,,,
Fanciful,imaginative or unreal,"Because she had a wild imagination, she loved to create fanciful stories in her spare time.",The movie was a fanciful cinematic piece about fairies and mermaids.,"My niece is always quite fanciful, especially when she brings over her imaginary friends.",Our improvisation teacher wanted us to create a fanciful sketch.,The theme for the party was very fanciful and imaginative.,,,,,
Fanciful,coming from the imagination; dreamlike,The storyteller told fanciful tales about talking mermaids and fearless princesses.,"Only Kate could see her fanciful friend, but it was hard for her to accept that he was just a figure of her imagination.",Courtney’s writing had a fanciful quality and usually included characters from her wildest imagination.,"Making whimsical strokes on the canvas, the artist painted fanciful trees with curling branches that waved to passersby.","Our fanciful trip to Paris was a dreamlike experience, lovelier than we could have ever imagined.",,,,,
Fancy schmancy,extraordinarily impressive and expensive,"I know you're fashionable, but dressing up in a fancy schmancy suit and tie to eat at McDonald's is excessive.",,,,,,,,,
Fancy,to want to do something,"We fancy a trip to the islands, but our budget won’t allow it.",I fancy a juicy hamburger every now and again but try to eat clean otherwise.,"My brother and his wife fancy buying a large, exotic homes while we prefer a small cabin-like feel.",The girls fancy a night-out on the town and should be leaving the hotel soon.,"Though the couple might fancy going out on a date, there is no babysitter to watch the children.",,,,,
Fanfare,the attention of the public or prestigious ceremony,"The President received a great deal of fanfare when he announced his plans on immigration, so the news spread word of it quickly.",There is usually a great deal of fanfare involved when it comes to graduation for both high schoolers and college students.,"There was no small amount of fanfare when I received my diploma from my principal, especially considering the cheers of my family in the bleachers.","Celebrities often receive fanfare for almost any decision they make, becoming a popular media story for no reason at all more often than not.",The king was met with the fanfare of dozens of trumpets as he stepped out onto the balcony to give a speech to his assembled people.,,,,,
Fantastic,extraordinarily good; incredibly wonderful,The strong winds make for a fantastic day of kite flying.,"Offered a chance to work at Google and earn a six-figure salary, Albert wasted no time and accepted the fantastic job opportunity.",Some people argue that self-driving cars are stupid and dangerous while some say they are a fantastic innovation for the future.,"Delighted with her students exam scores, the teacher thanked the class for doing a fantastic job.",Baking soda does a fantastic job of cleaning super dirty ovens.,,,,,
Fantastical,odd and remarkable; as if it came from the imagination,The woman’s real-life success story sounded like some fantastical movie plot.,"On the set of the Star Wars movie, the scenery was both fantastical and bizarre.","Because of his fantastical behavior, the offbeat actor was well known in the acting community.","Stretching high into the sky, the fantastical buildings were both strange looking remarkably built.",The strangely dressed model is known for her fantastical fashion sense.,,,,,
Fantasy,a pleasant thought of an unlikely enjoyable situation,"When she was young, I often found my daughter Kendra in her room withdrawn into her own fantasy world.",,,,,,,,,
Farce,a ridiculous situation or event,Many argue that the government today is a mere farce of what it started out as.,"The trail was a complete farce, the jury obviously knowing their verdict before proceedings even began.","The movie was a complete farce, showing how ridiculous the actors viewed politics.","There was no character development, but the comedy did make for an entertaining farce.","The actor refused to star in such a farce, insisting his talents were above such humor.","Feeling politics had become a farce, the senator stepped down from his seat.","Sometimes, a good farce is more entertaining than a well-thought out comedy.","The playwright wanted a thoughtful tragedy, but he ended up with a mere farce.",The way mechanics charge for their services sometimes seems like a farce.,"She was done with this farce, ready to move onto more meaningful endeavors."
Farcical,bizarre or outlandish,Critics described the farcical play as an absurd piece of writing that could have only been created by an intoxicated playwright.,"As we watched the farcical film, we could not help but laugh at the antics of the three comedians.",Amber has been known to behave in a farcical manner when she is under the influence of marijuana.,"Because Jim is known for his farcical behavior, no one was surprised when he put up his Christmas decorations in February.",The members of the jury found it hard to believe the farcical testimony of the schizophrenic witness.,"In John’s farcical one-man show, he plays several characters while engaging himself in unusual conversations.",The actor was tired of playing farcical roles and asked his manager to find him dramatic work.,"During the fire drill, several students behaved in a farcical manner by jumping on top of their desks and singing.",The singer is known for his farcical songs that make fun of the original tunes on which they are based.,"Since the judge did not believe the criminal’s farcical excuse about being controlled by a demon, he sentenced the man to a year in prison."
Fare,the fee an individual is charged in order to be transported somewhere ,The airline fare will set me back by eight hundred dollars.,What is the fare for an eight-day cruise to the Caribbean?,The prize does not include travel fare to the resort.,"Thanks to the airline’s “buy one get one free” fare promotion, my husband and I can finally take a trip to Europe.",The man stowed away on the ship because he could not afford the cruise fare.,,,,,
Farewell,goodbye to one who is departing,Tearful onlookers waved farewell to the departing soldiers heading to Afghanistan.,"With a hearty farewell, the immigrants boarded the vessel bound for the new land.","Departing without so much as a farewell, the young man packed his things and left the city.",Saying farewell to her new family was much harder than the foreign exchange student had anticipated.,"After the ceremony, the newlyweds bid farewell to their guests and embarked on their Jamaican honeymoon.",,,,,
Farfetched,unlikely; unbelievable,"The idea that the losing team could come back and win was farfetched, but we held out hope.",Melissa’s farfetched design for a flying bicycle didn’t get very far with the investors.,"Though his idea was far-fetched, the other scientists hoped that Wendell’s cure for cancer would actually work.","Farfetched and unlikely, I highly doubt that the celebrity would allow us to come backstage with him.",The other kids laughed hysterically as Corey told them a farfetched story about a ghost in his attic.,,,,,
Farouche,wildly fierce while remaining unapproachable by others,The farouche canine growled and snarled as he backed away from those trying to capture it.,"Wild and uncontrollable, the farouche-like toddler acted more like a wild animal than a little girl.","Because she tended to be farouche in social situations, the wild-eyed teenager tried to avoid situations that made her feel anxious and out of control.",,,,,,,
Farrago,a collection containing a confused variety of miscellaneous things,The present gun law is a farrago of nonsense as most of it is unenforceable.,,,,,,,,,
Farther,referring to a larger physical distance,We have to walk farther than usual today because there was construction work on our usual route to school.,"Many people use farther and further interchangeably, but you are only supposed to say that something is ‘farther’ when you are talking about a physical distance.","While I only have to run a little farther to finish the marathon, by now I am so tired that it feels much further than it is.",I decided to run just a little farther on my morning jog today because I want to lose an extra pound or two by the end of my week.,"If we push our determination a little further, we can run much farther on the marathon than we thought we were capable of.",,,,,
Fascinate,to capture and hold someone’s attention or interest,The idea of a president that would strengthen the middle class seemed to fascinate those listening to the speech.,The debutante’s charm and wit helped fascinate many potential suitors attending the ball.,"Hoping that the prototype would be unique enough to fascinate possible investors, the entrepreneur began his sales pitch.","Although she has been dead for several decades, the iconic Marilyn Monroe continues to fascinate people around the world.",Only the magician was able to fascinate the otherwise bored and listless crowd.,,,,,
Fascination,intense intrigue or interest in something,"My fascination with the stars as a child led me to become an astronomer later in life, as I just love studying those stars and learning more about them.",You can usually predict what kind of career a child will want when they are older by the types of fascination they have when they are young.,"If you have a fascination with something, you are more likely to research it and learn as much about it as you can.","If you have a fascination with something, you are more likely to research it and learn as much about it as you can.","I have a fascination with planes, and I can name pretty much any aircraft you can see flying through the air.",,,,,
Fascism,a government that is ruled by a powerful dictator having control of everyone/everything,"When the mayor discussed the possibility of a local curfew, the citizens immediately accused him of fascism.",Adolf Hitler was inspired by fascism in his formation of Nazi Germany.,"With imposed curfews and a heightened police presence, the country seemed to be moving more towards fascism than democracy.",Fascism is one of the most destruction and oppressive forms of government today.,There are few authoritarian structures out there as recognizable as fascism.,"Even though there is often the illusion of private industry, fascism calls for complete governmental control.","The man and his wife wanted to escape fascism, so they headed for the United States.","Though it is not required, fascism is often accompanied by racism of some sort.",Their national pride was on the border of fascism.,Benito Mussolini led the country of Italy to fascism.
Fascist,related to a government system led by a dictator with complete power,The fascist regime has taken over the area and is ruling the city with an iron fist.,Fascist refugees are continuing to flee the lands where the evil dictator is still in charge.,"In a place with fascist government, the leader has complete control over the country.","Germany crumbled because it was led by an all-powerful, fascist leader.",Many fascist leaders have died when their people finally tire of their dictator based leadership styles.,,,,,
Fashionable,popular; stylish,It took much persuading to convince my aunt that her bell-bottom jeans and platform shoes are no longer fashionable.,"Many of her dresses were plain, but the fashionable woman always wore the most chic accessories.","As a style editor, it is Anna Dello Russo’s job to show the masses what is fashionable and what is not.",The new clothing line offers fashionable alternatives to traditional and outdated head scarves.,"The teen thought gothic style to be fashionable, but her mother wished that she would spice up her wardrobe with some color.",,,,,
Fast,moving at high speed or capable of high speed,People who love to go fast could experience no greater thrill than the supersonic flight of a fighter jet.,"You must be fast to be on the track team, since nearly every event is about how quickly you can cover distance.",If you want to be a fast learner you should study the material you initially learn at school once you get home.,"The roadrunner is a fast animal, but the cheetah is even faster, being able to run up to sixty miles an hour in a sprint.",Someone with fast reflexes will usually be able to dodge something thrown at them on instinct.,,,,,
Fasten,to make something secure or attached,Stuffing himself at the dinner table left the man unable to fasten his belt when he got up.,"Refusing to fasten his seatbelt, the reckless driver weaved in and out of traffic.",The bolt and washer were used to fasten the chair to the floor.,"In a hurry to get to her next destination, the careless mother forgot to fasten her infant into the seat.","The freezing man shook as he tried to fasten his heavy coat, hoping it would block some of the bitter cold.",,,,,
Fastidious,concerned about accuracy and detail; hard to please,My mother was a fastidious woman who always had a complaint on her lips.,"Arrogant and fastidious, the diva made no friends on her music tour.","While Henry would eat just about anything, his wife was so fastidious she barely ate anything.","Constantly licking themselves, cats are fastidious creatures.",The devoted fans of the science fiction show were fastidious in terms of plot development.,"Although the fastidious painter had all of his brushes, he refused to paint because his special canvasses were unavailable.",My mother-in-law is the most fastidious person on this planet!,Your friends will be few if you do not change your habit of being fastidious.,"Despite Marilyn’s high grade, the professor remained fastidious in his assessment of her academic skill.",Nobody ever invites you to a sleepover because you are too fastidious!
Fat cat,a rich and influential person who is in business or politics,People are easily angered when they read that another fat cat Pharmaceutical CEO receives a bonus while the public is paying higher drug prices.,,,,,,,,,
Fatal,causes death or leads to a disaster,"Dropping a fatal dose of poison into the goblet, the evil queen smiled down at her deathly elixir.","Without an antidote to treat the patient, the poisonous snakebite would prove fatal.",A fatal crash during the blizzard claimed the lives of two prominent senators.,"The dive instructors explained that although a rare occurrence, fatal shark attacks do occur during dives.",Detectives used forensic evidence to determine that a fatal blow to the head resulted in the death.,,,,,
